epoch,step,train/loss_epoch,train/loss_step,val/loss
0,49,,5.572544574737549,
0,49,,,5.547522068023682
0,99,,5.5390625,
0,99,,,5.552879810333252
0,149,,5.556919574737549,
0,149,,,5.552389144897461
0,199,,5.556919574737549,
0,199,,,5.555559158325195
0,199,5.549842357635498,,
